                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46926,                0.85062,                      1,                 1.1152,             0.00023465,             0.00023465,             0.00023465
                      2,                 0.4312,                0.83831,                      1,                 1.0995,             0.00042586,             0.00042586,             0.00042586
                      3,                0.36052,                0.86116,                      1,                 1.1084,             0.00056994,             0.00056994,             0.00056994
                      4,                 0.3068,                0.85764,                      1,                 1.0636,             0.00050194,             0.00050194,             0.00050194
                      5,                0.23089,                 0.8717,                      1,                 1.0518,             0.00043126,             0.00043126,             0.00043126
                      6,                0.19495,                0.89104,                      1,                  1.041,             0.00036057,             0.00036057,             0.00036057
                      7,                0.17729,                0.89104,                      1,                 1.0339,             0.00028988,             0.00028988,             0.00028988
                      8,                0.15042,                0.90685,                      1,                 1.0187,              0.0002192,              0.0002192,              0.0002192
                      9,                0.13312,                0.90158,                      1,                 1.0182,             0.00014851,             0.00014851,             0.00014851
                     10,                0.12116,                0.91564,                      1,                 1.0113,             7.7826e-05,             7.7826e-05,             7.7826e-05
